car_name,yr_mfr,fuel_type,kms_run,city,body_type,transmission,total_owners,original_price,warranty_avail,sale_price
honda amaze,2018,diesel,56926,noida,sedan,manual,1,727418,FALSE,569899
maruti ciaz,2018,diesel,57860,noida,sedan,manual,1,982967,FALSE,770199
mahindra kuv100,2016,diesel,99569,noida,suv,manual,1,326710,FALSE,266299
maruti alto,2009,petrol & cng,109466,noida,hatchback,manual,2,149393,FALSE,105999
audi a3,2016,petrol,76749,noida,luxury sedan,automatic,1,2053200,FALSE,1663670
maruti swift dzire,2013,petrol,95093,noida,sedan,manual,1,379281,FALSE,288599
honda city,2014,petrol,93529,noida,sedan,manual,2,541693,TRUE,478899
hyundai i10,2013,petrol,93866,noida,hatchback,manual,1,293378,FALSE,234299
maruti swift,2014,petrol & cng,104448,noida,hatchback,manual,1,418624,FALSE,314999
toyota fortuner,2012,diesel,169704,noida,luxury suv,manual,1,1359937,FALSE,1089687
honda city,2015,petrol,147944,noida,sedan,manual,2,568889,FALSE,554899
hyundai i20,2013,petrol,29656,noida,hatchback,manual,1,430359,FALSE,339299
honda brio,2012,petrol,48415,noida,hatchback,manual,1,275320,FALSE,199499
honda amaze,2019,petrol,5906,noida,sedan,manual,1,593482,FALSE,581299
hyundai santro xing,2014,petrol,45361,noida,hatchback,manual,1,339367,FALSE,265899
renault kwid,2017,petrol,29238,noida,hatchback,manual,1,388983,FALSE,301499
maruti swift dzire,2014,diesel,27619,noida,sedan,manual,1,609475,FALSE,481099
maruti baleno,2019,petrol,5631,noida,hatchback,manual,1,779212,FALSE,602799
maruti swift,2018,petrol,11550,noida,hatchback,manual,1,667508,FALSE,537399
maruti dzire,2018,petrol,24883,noida,sedan,manual,1,731634,FALSE,563999
renault kwid,2016,petrol,31898,noida,hatchback,manual,1,300952,FALSE,245999
datsun redi go,2017,petrol,21259,noida,hatchback,manual,1,271963,FALSE,233399
maruti sx4,2008,petrol,50292,noida,sedan,manual,2,167036,FALSE,128299
renault kwid,2016,petrol,44946,noida,hatchback,manual,1,324451,FALSE,248699
tata nano,2015,petrol,42878,noida,hatchback,manual,1,154745,FALSE,152399
hyundai creta,2015,petrol,27144,noida,suv,manual,1,999716,FALSE,802499
maruti baleno,2018,petrol,28594,noida,hatchback,manual,1,786657,FALSE,624399
mahindra thar,2018,diesel,22800,noida,suv,manual,2,977079,FALSE,764399
maruti swift dzire,2015,petrol,57988,noida,sedan,manual,1,486705,FALSE,393799
chevrolet beat,2013,diesel,136954,noida,hatchback,manual,1,164999,FALSE,157999
maruti dzire,2018,diesel,52916,noida,sedan,manual,1,705613,FALSE,558599
maruti ertiga,2014,diesel,72120,noida,suv,manual,1,655064,FALSE,529099
toyota fortuner,2015,diesel,59372,noida,luxury suv,manual,1,1838519,FALSE,1502599
toyota innova,2013,diesel,80307,noida,suv,manual,1,885331,FALSE,691399
mahindra scorpio,2019,diesel,41908,noida,suv,manual,2,1597369,FALSE,1307948
hyundai elite i20,2016,diesel,105733,noida,hatchback,manual,1,610832,FALSE,469399
maruti wagon r 1.0,2016,petrol & cng,74429,noida,hatchback,manual,1,325520,FALSE,276299
maruti ertiga,2013,diesel,191884,noida,suv,manual,1,506291,FALSE,441199
